run,testcase ,mainmenu,submenu ,item_name,data_link,searchtext ,expected 
on,Living: Sofas & Loveseats,Living,Seating,Sofas & Loveseats ,living ,Sofa,5
on,Living: Sectional,Living,Seating,Sectional,living ,Sectional,5
on,Living: Settees,Living,Seating,Settees,living ,Settee,5
on,Living: Accent Chairs ,Living,Seating,Accent Chairs,living ,Chair,5
on,Living: Poufs,Living,Seating,Poufs ,living ,Pouf,5
on,Living: Ottomans,Living,Seating,Ottomans,living ,Ottoman,5
on,Living: Benches,Living,Seating,Benches,living ,Bench,5
on,Living: Garden Stools ,Living,Seating,Garden Stools ,living ,Garden Stool ,5
on,Living: Coffee & Cocktail Tables,Living ,Tables,Coffee & Cocktail Tables,living ,Table,5
on,Living: Ottomans,Living ,Tables,Ottomans,living ,Ottoman,5
on,Living: Side Tables,Living ,Tables,Side Tables,living ,Table,5
on,Living: Console Tables ,Living ,Tables,Console Tables ,living ,Console ,5
on,Living: Bar Charts,Living,Storage,Bar Carts ,living ,Bar Cart,5
on,Bedroom & Bath: Night Stands,Living,Furniture,Benches ,living ,Bench,5
on,Bedroom & Bath: Dressers,Bedroom & Bath,Furniture,Dressers,bedroom_bath,Dresser,5
on,Bedroom & Bath: Throws,Bedroom & Bath,Bed Accessories,Throws,bedroom_bath,Throw,5
on,Bedroom & Bath: Decorative Pillows,Bedroom & Bath,Bed Accessories,Decorative Pillows,bedroom_bath,Pillow ,5
on,Dining & Kitchen: Dining Tables,Dining & Kitchen,Furniture ,Dining Tables,dining_kitchen,Table,5
on,Dining & Kitchen: Dining Chairs,Dining & Kitchen,Furniture ,Dining Chairs,dining_kitchen,Chair,5
on,Dining & Kitchen: Bar Carts,Dining & Kitchen,Furniture ,Bar Carts ,dining_kitchen,Bar Cart,5
on,Dining & Kitchen: Plates,Dining & Kitchen,Tabletop,Plates,dining_kitchen,Plate,5
on,Dining & Kitchen: Bowls,Dining & Kitchen,Tabletop,Bowls,dining_kitchen,Bowl,5
on,Dining & Kitchen: Mugs,Dining & Kitchen,Tabletop,Mugs,dining_kitchen,Mug,5
on,Dining & Kitchen: Glassware,Dining & Kitchen,Tabletop,Glassware,dining_kitchen,Glasses,5
on,Dining & Kitchen: Serving Bowls ,Dining & Kitchen,Serveware,Serving Bowls ,dining_kitchen,Bowl,5
on,Dining & Kitchen: Place Mats ,Dining & Kitchen,Table Linens ,Place Mats ,dining_kitchen,Place Mat,5
on,Rugs: Traditional,Rugs,Style ,Traditional,rugs,Rug,5
on,Rugs: Contemporary,Rugs,Style ,Contemporary,rugs,Rug,5
on,Rugs: Geometric,Rugs,Style ,Geometric,rugs,Rug,5
on,Rugs: Globally Inspired,Rugs,Style ,Globally Inspired,rugs,Rug,5
on,Rugs: Striped,Rugs,Style ,Striped,rugs,Rug,5
on,Rugs: Solid & Tonal,Rugs,Style ,Solid & Tonal,rugs,Rug,5
on,Rugs: Overdyed,Rugs,Style ,Overdyed,rugs,Rug,5
on,Rugs: Wool,Rugs,Material ,Wool ,rugs ,Rug,5
on,Rugs: Natural Fiber ,Rugs,Material ,Natural Fiber ,rugs ,Rug,5
on,Rugs: Hide ,Rugs,Material ,Hide ,rugs ,Rug,5
on,Lighting: Table Lamps ,Lighting ,Indoor Lighting ,Table Lamps ,lighting ,Table Lamp ,5
on,Lighting: Floor Lamps ,Lighting ,Indoor Lighting ,Floor Lamps ,lighting ,Floor Lamp ,5
on,Lighting: Chandeliers,Lighting ,Indoor Lighting ,Chandeliers ,lighting ,Chandelier ,5
on,Lighting: Pendants ,Lighting ,Indoor Lighting ,Pendants ,lighting ,Pendant ,5
on,Lighting: String Lights ,Lighting ,Outdoor Lighting ,String Lights ,lighting ,Lights ,5
on,Art & D_cor: Pillows,Art & Decor,Textiles ,Pillows,art_decor ,Pillow ,5
on,Art & D_cor: Throws ,Art & Decor,Textiles ,Throws ,art_decor ,Throw ,5
on,Art & D_cor: Wall Mirrors ,Art & Decor,Mirrors ,Wall Mirrors ,art_decor ,Mirror ,5
on,Art & D_cor: Floor Mirrors ,Art & Decor,Mirrors ,Floor Mirrors ,art_decor ,Floor Mirror ,5
on,Outdoor: Accent Chairs ,Outdoor,Furniture ,Accent Chairs,outdoor,Chair ,5
on,Outdoor: Accent Tables,Outdoor,Furniture ,Accent Tables ,outdoor,Table Lamp ,5
on,Outdoor: Lounge Sets ,Outdoor,Furniture ,Lounge Sets ,outdoor,Set ,5
on,Outdoor: Pillows,Outdoor,Accents ,Pillows ,outdoor,Pillow ,5
on,Outdoor: Doormats ,Outdoor,Accents ,Doormats,outdoor,Doormat ,5
